Time(s),Temperature(°C),,
0,1.79,25,20
1,3.23,25,20
2,3.61,25,20
3,5.12,25,20
4,5.36,25,20
5,5.88,25,20
6,7.08,25,20
7,8.34,25,20
8,9.44,25,20
9,10.58,25,20
10,11.57,25,20
11,13.04,25,20
12,13.9,25,20
13,15.14,25,20
14,16.83,25,20
15,17.58,25,20
16,18.1,25,20
17,19.39,25,20
18,20.44,25,20
19,21.24,25,20
20,21.79,25,20
21,23.08,25,20
22,23.38,25,20
23,24.36,25,20
24,25.13,25,20
25,25.52,25,20
26,26.46,25,20
27,26.19,25,20
28,26.62,25,20
29,27.44,25,20
30,27.13,25,20
31,27.43,25,20
32,27.71,25,20
33,27.93,25,20
34,28.01,25,20
35,27.4,25,20
36,27.82,25,20
37,27.51,25,20
38,27.64,25,20
39,27.72,25,20
40,27.75,25,20
41,27.85,25,20
42,28.15,25,20
43,28.25,25,20
44,27.97,25,20
45,27.35,25,20
46,27.31,25,20
47,27.23,25,20
48,26.59,25,20
49,26.75,25,20
50,26.71,25,20
51,26.82,25,20
52,26.08,25,20
53,25.9,25,20
54,25.28,25,20
55,24.94,25,20
56,25.54,25,20
57,25.55,25,20
58,25.43,25,20
59,25.56,25,20
60,25.69,25,20
61,26.03,25,20
62,26.4,25,20
63,26.05,25,20
64,26.34,25,20
65,26.72,25,20
66,26.33,25,20
67,26.75,25,20
68,26.02,25,20
69,26.09,25,20
70,25.97,25,20
71,25.42,25,20
72,25.84,25,20
73,25.85,25,20
74,26.06,25,20
75,25.97,25,20
76,25.78,25,20
77,25.59,25,20
78,24.7,25,20
79,24.25,25,20
80,24.28,25,20
81,23.61,25,20
82,23.66,25,20
83,23.43,25,20
84,23.1,25,20
85,22.7,25,20
86,22.85,25,20
87,23.45,25,20
88,23.55,25,20
89,23.28,25,20
90,23.36,25,20
91,22.87,25,20
92,22.72,25,20
93,22.19,25,20
94,21.98,25,20
95,21.48,25,20
96,21.88,25,20
97,21.58,25,20
98,21.95,25,20
99,21.76,25,20
100,20,25,20
101,20.75,25,20
102,21.31,25,20
103,21.53,25,20
104,22.17,25,20
105,22.65,25,20
106,21.99,25,20
107,22.19,25,20
108,21.8,25,20
109,22.26,25,20
110,22.03,25,20
111,22.68,25,20
112,23.19,25,20
113,23.2,25,20
114,22.46,25,20
115,21.98,25,20
116,21.94,25,20
117,21.99,25,20
118,22.38,25,20
119,22.5,25,20
120,22.02,25,20
121,21.65,25,20
